-950.38007,-956.2993,-943.4151,-932.28815,-939.44226,-933.80475,-937.6452,-930.697,-943.3945,-931.4796
-947.8904,-952.27124,-939.15576,-932.6048,-928.413,-934.7294,-931.45685,-931.37994,-925.095,-931.7362
-947.15265,-951.7927,-934.76697,-933.2019,-928.8948,-934.33655,-930.49567,-929.9098,-925.0034,-930.8112
-922.5702,-914.94806,-931.246,-936.5726,-941.7659,-934.41205,-937.8801,-933.565,-950.33185,-932.22723
-942.61365,-948.47107,-936.4281,-931.2998,-929.64716,-937.8599,-932.15424,-932.11993,-929.67865,-934.8377
-948.91614,-953.57355,-943.6381,-932.4995,-934.72516,-934.4951,-933.71063,-931.7541,-932.3559,-932.58185
-933.68896,-938.4631,-935.59564,-929.13684,-930.0434,-933.9752,-931.35864,-932.13477,-923.627,-928.5224
-924.723,-918.2847,-934.83765,-934.45654,-941.9794,-936.968,-939.7577,-932.8871,-938.0083,-932.86163
-948.432,-952.3346,-943.8556,-933.3937,-936.337,-934.34595,-934.4015,-932.3646,-933.61365,-931.58203
-925.08844,-919.53174,-939.61993,-948.4187,-945.67236,-940.041,-945.27155,-954.11414,-957.81287,-956.9469
-924.4355,-917.22943,-936.33105,-943.0192,-942.42975,-940.1029,-941.54205,-943.40753,-950.3039,-943.65424
-924.90295,-917.93726,-937.4731,-944.8813,-944.88403,-940.6954,-943.87195,-949.55005,-955.2118,-953.18854
-947.7323,-951.96106,-934.42194,-931.07806,-928.32336,-934.0201,-929.8238,-930.70184,-925.1282,-930.1873
-923.7457,-916.8651,-934.0075,-934.5175,-940.5348,-934.7875,-938.63306,-932.14215,-947.3445,-933.7586
-943.81354,-948.7659,-936.5812,-931.5012,-928.3187,-935.81067,-930.1681,-929.7571,-926.2777,-931.9223
-921.45416,-932.08496,-938.37305,-930.3795,-931.3776,-935.445,-932.7654,-934.2034,-925.2841,-930.1185
-915.2687,-917.96045,-941.63153,-934.32184,-935.202,-937.71295,-938.378,-941.62396,-928.45557,-934.17706
-945.66156,-948.9506,-946.2856,-933.652,-944.49316,-935.1862,-938.7821,-931.2789,-940.1917,-932.04474
-923.3142,-916.6646,-930.2881,-943.5556,-935.24335,-943.91943,-934.8449,-932.5496,-928.4858,-936.93335
-950.4255,-957.4413,-937.5496,-930.90515,-927.1346,-933.2656,-929.32166,-930.013,-923.5525,-929.95294
-946.6871,-954.7368,-936.51514,-931.257,-927.8987,-934.43146,-929.0372,-928.5883,-925.46576,-931.0914
-904.74054,-900.584,-927.0213,-933.80383,-934.77606,-937.3088,-936.8667,-936.37177,-927.8592,-933.3259
